player,cluster,cluster_name
9,2,Cluster_2
51,2,Cluster_2
69,1,Cluster_1
34,2,Cluster_2
94,1,Cluster_1
38,1,Cluster_1
22,2,Cluster_2
75,1,Cluster_1
44,2,Cluster_2
98,1,Cluster_1
27,2,Cluster_2
15,2,Cluster_2
53,2,Cluster_2
50,2,Cluster_2
61,1,Cluster_1
33,2,Cluster_2
25,2,Cluster_2
37,2,Cluster_2
74,1,Cluster_1
17,2,Cluster_2
86,2,Cluster_2
91,2,Cluster_2
78,2,Cluster_2
40,2,Cluster_2
81,1,Cluster_1
2,2,Cluster_2
20,2,Cluster_2
11,2,Cluster_2
10,2,Cluster_2
96,0,Cluster_0
32,2,Cluster_2
60,2,Cluster_2
7,2,Cluster_2
55,2,Cluster_2
83,2,Cluster_2
70,2,Cluster_2
5,2,Cluster_2
85,2,Cluster_2
73,2,Cluster_2
72,1,Cluster_1
24,2,Cluster_2
45,2,Cluster_2
12,2,Cluster_2
4,2,Cluster_2
54,1,Cluster_1
23,2,Cluster_2
63,1,Cluster_1
48,2,Cluster_2
65,1,Cluster_1
68,2,Cluster_2
39,2,Cluster_2
58,2,Cluster_2
26,1,Cluster_1
35,2,Cluster_2
6,2,Cluster_2
56,2,Cluster_2
64,0,Cluster_0
95,2,Cluster_2
49,1,Cluster_1
19,2,Cluster_2
36,2,Cluster_2
82,0,Cluster_0
88,0,Cluster_0
43,2,Cluster_2
92,1,Cluster_1
46,1,Cluster_1
42,2,Cluster_2
52,1,Cluster_1
99,2,Cluster_2
0,2,Cluster_2
77,2,Cluster_2
90,1,Cluster_1
59,1,Cluster_1
67,1,Cluster_1
3,2,Cluster_2
21,2,Cluster_2
16,2,Cluster_2
30,2,Cluster_2
13,2,Cluster_2
41,2,Cluster_2
31,2,Cluster_2
0,2,Cluster_2
28,2,Cluster_2
79,1,Cluster_1
29,2,Cluster_2
97,2,Cluster_2
18,2,Cluster_2
57,2,Cluster_2
1,2,Cluster_2
8,2,Cluster_2
71,1,Cluster_1
93,0,Cluster_0
76,2,Cluster_2
80,1,Cluster_1
47,2,Cluster_2
66,2,Cluster_2
84,1,Cluster_1
14,2,Cluster_2
